,Security,Description,Category,Subcategory
,EHFI251 Index,Eurekahedge Hedge Fund Index,Index/Stats,Miscellaneous Indices
,EHFI810 Index,Eurekahedge Hedge Fund Index (USD),Index/Stats,Miscellaneous Indices
,EHFI252 Index,Eurekahedge Long / Short Equities Hedge Fund Index,Index/Stats,Miscellaneous Indices
,EHFI286 Index,Eurekahedge CTA / Managed Futures Hedge Fund Index,Index/Stats,Miscellaneous Indices
,EHFI253 Index,EurekaHedge Macro Hedge Fund Index,Index/Stats,Miscellaneous Indices
,EHFI254 Index,Eurekahedge Multi-Strategy Hedge Fund Index,Index/Stats,Miscellaneous Indices
,EHFI139 Index,Eurekahedge Japan only Long Short Equities Hedge Fund Index,Index/Stats,Miscellaneous Indices
,EHFI751 Index,Eurekahedge Equity Market Neutral Hedge Fund Index,Index/Stats,Miscellaneous Indices
,EHFI547 Index,Eurekahedge UCITS Hedge Fund Index,Index/Stats,Miscellaneous Indices
,EHFI287 Index,Eurekahedge Distressed Debt Hedge Fund Index,Index/Stats,Miscellaneous Indices
,EHFI289 Index,Eurekahedge Fixed Income Hedge Fund Index,Index/Stats,Miscellaneous Indices
,EHFI817 Index,Eurekahedge Artificial Intelligence Hedge Fund Index,Index/Stats,Miscellaneous Indices
,EHFI804 Index,Eurekahedge ILS Advisers Index - USD Hedged,Index/Stats,Miscellaneous Indices
,EHFI38 Index,Eurekahedge Asian Hedge Fund Index,Index/Stats,Miscellaneous Indices
,EHFI133 Index,Eurekahedge Japan Hedge Fund Index,Index/Stats,Miscellaneous Indices
,EHFI115 Index,Eurekahedge Greater China Long Short Equities Hedge Fund Index,Index/Stats,Miscellaneous Indices
,EHFI18 Index,Eurekahedge Asia Long Short Equities Hedge Fund Index,Index/Stats,Miscellaneous Indices
,EHFI255 Index,Eurekahedge Relative Value Hedge Fund Index,Index/Stats,Miscellaneous Indices
,EHFI685 Index,Eurekahedge Asia Credit LongShort Hedge Fund Index,Index/Stats,Miscellaneous Indices
,EHFI809 Index,Eurekahedge FX Hedge Fund Index,Index/Stats,Miscellaneous Indices
,EHFI110 Index,Eurekahedge Greater China CTA Hedge Fund Index,Index/Stats,Miscellaneous Indices
,EHFI5475 Index,Eurekahedge UCITS Multi-Strategy Hedge Fund Index,Index/Stats,Miscellaneous Indices
,EHFI288 Index,Eurekahedge Event Driven Hedge Fund Index,Index/Stats,Miscellaneous Indices
,EHFI401 Index,Eurekahedge Top 50 Hedge Fund Tracker Index,Index/Stats,Miscellaneous Indices
,EHFI285 Index,Eurekahedge Arbitrage Hedge Fund Index,Index/Stats,Miscellaneous Indices
,EHFI686 Index,Eurekahedge Structured Credit Hedge Fund Index,Index/Stats,Miscellaneous Indices
,EHFI599 Index,Eurekahedge UCITS CTA/Managed Futures Hedge Fund Index,Index/Stats,Miscellaneous Indices
,EHFI806 Index,Eurekahedge Equity Long Bias Hedge Fund Index,Index/Stats,Miscellaneous Indices
,EHFI400 Index,Eurekahedge Top 50 Hedge Fund Index,Index/Stats,Miscellaneous Indices
,EHFI16 Index,Eurekahedge Asia ex Japan Relative Value Hedge Fund Index,Index/Stats,Miscellaneous Indices
,EHFI149 Index,Eurekahedge Korea Long Short Equities Hedge Fund Index,Index/Stats,Miscellaneous Indices
,EHFI5474 Index,Eurekahedge UCITS Macro Hedge Fund Index,Index/Stats,Miscellaneous Indices
,EHFI20 Index,Eurekahedge Asia Multi Strategy Hedge Fund Index,Index/Stats,Miscellaneous Indices
,EHFI213 Index,Eurekahedge North America Long Short Equities Hedge Fund Index,Index/Stats,Miscellaneous Indices
,EHFI273 Index,Eurekahedge Emerging Markets Macro Hedge Fund Index,Index/Stats,Miscellaneous Indices
,EHFI7 Index,Eurekahedge Asia ex Japan Arbitrage Hedge Fund Index,Index/Stats,Miscellaneous Indices
,EHFI605 Index,Eurekahedge Index - USD Hedged,Index/Stats,Miscellaneous Indices
,EHFI816 Index,Eurekahedge Crypto-Currency Hedge Fund Index,Index/Stats,Miscellaneous Indices
,EHFI12 Index,Eurekahedge Asia ex Japan Hedge Fund Index,Index/Stats,Miscellaneous Indices
,EHFI259 Index,Eurekahedge Asia/Japan Hedge Fund Index,Index/Stats,Miscellaneous Indices
,EHFI148 Index,Eurekahedge Korea Hedge Fund Index,Index/Stats,Miscellaneous Indices
,EHFI811 Index,Eurekahedge Commodity Hedge Fund Index,Index/Stats,Miscellaneous Indices
,EHFI84 Index,Eurekahedge Europe Long Short Equities Hedge Fund Index,Index/Stats,Miscellaneous Indices
,EHFI27 Index,Eurekahedge Asia Relative Value Hedge Fund Index,Index/Stats,Miscellaneous Indices
,EHFI76 Index,Eurekahedge Europe Distressed Debt Hedge Fund Index,Index/Stats,Miscellaneous Indices
,EHFI114 Index,Eurekahedge Greater China Hedge Fund Index,Index/Stats,Miscellaneous Indices
,EHFI261 Index,Eurekahedge Asia/Japan CTA Hedge Fund Index,Index/Stats,Miscellaneous Indices
,EHFI265 Index,Eurekahedge Asia/Japan Long / Short Equities Hedge Fund Index,Index/Stats,Miscellaneous Indices
,EHFI82 Index,Eurekahedge Europe Fixed Income Hedge Fund Index,Index/Stats,Miscellaneous Indices
,EHFI91 Index,Eurekahedge European Hedge Fund Index,Index/Stats,Miscellaneous Indices
,EHFI155 Index,Eurekahedge Large European Hedge Fund Index > US$500m,Index/Stats,Miscellaneous Indices
,EHFI193 Index,Eurekahedge Medium European Hedge Fund Index US$100m - US$500m,Index/Stats,Miscellaneous Indices
,EHFI226 Index,Eurekahedge Small European Hedge Fund Index < US$100m,Index/Stats,Miscellaneous Indices
,EHFI567 Index,Eurekahedge UCITS Europe Hedge Fund Index,Index/Stats,Miscellaneous Indices
,EHFI606 Index,Eurekahedge Index - EUR Hedged,Index/Stats,Miscellaneous Indices
,EHFI13 Index,Eurekahedge Asia ex Japan Long Short Equities Hedge Fund Index,Index/Stats,Miscellaneous Indices
,EHFI10 Index,Eurekahedge Asia ex Japan Event Driven Hedge Fund Index,Index/Stats,Miscellaneous Indices
,EHFI217 Index,Eurekahedge North America Multi Strategy Hedge Fund Index,Index/Stats,Miscellaneous Indices
,EHFI222 Index,Eurekahedge North American Hedge Fund Index,Index/Stats,Miscellaneous Indices
