,Security,Description,Category,Subcategory
,HFRIFWI Index,HFRI Fund Weighted Composite Index,Index/Stats,Fund Indices
,HFRIFOF Index,HFRI Fund of Funds Composite Index,Index/Stats,Fund Indices
,HFRIEHI Index,HFRI Equity Hedge Total Index,Index/Stats,Fund Indices
,HFRIFOFD Index,HFRI FOF Diversified Index,Index/Stats,Fund Indices
,HFRIEDI Index,HFRI Event-Driven Total Index,Index/Stats,Fund Indices
,HFRIMI Index,HFRI Macro Total Index,Index/Stats,Fund Indices
,HFRIEMNI Index,HFRI EH Equity Market Neutral Index,Index/Stats,Fund Indices
,HFRIMAI Index,HFRI ED Merger Arbitrage Index,Index/Stats,Fund Indices
,HFRIDSI Index,HFRI ED Distressed/Restructuring Index,Index/Stats,Fund Indices
,HFRI5FWC Index,HFRI 500 Fund Weighted Composite Index,Index/Stats,Fund Indices
,HFRIFOFC Index,HFRI FOF Conservative Index,Index/Stats,Fund Indices
,HFRIRVA Index,HFRI Relative Value Total Index,Index/Stats,Fund Indices
,HFRIAWC Index,HFRI Asset Weighted Composite Index,Index/Stats,Fund Indices
,HFRICAI Index,HFRI Relative Value Fixed Income-Convertible Arbitrage Index,Index/Stats,Fund Indices
,HFRIFIMB Index,HFRI Relative Value Fixed Income-Asset Backed Index,Index/Stats,Fund Indices
,HFRITECH Index,HFRI EH: Sector - Technology Index,Index/Stats,Fund Indices
,HFRICRDT Index,HFRI Credit Index,Index/Stats,Fund Indices
,HFRIFIHY Index,HFRI Relative Value Fixed Income-Corporate Index,Index/Stats,Fund Indices
,HFRI5EMN Index,HFRI 500 EH: Equity Market Neutral Index,Index/Stats,Fund Indices
,HFRIFI Index,HFRI Relative Value Multi-Strategy Index,Index/Stats,Fund Indices
,HFRIMTF Index,HFRI Trend Following Directional Index,Index/Stats,Fund Indices
,HFRIMTI Index,HFRI Macro Systematic Diversified Index,Index/Stats,Fund Indices
,HFRIMDT Index,HFRI Macro Discretionary Thematic Index,Index/Stats,Fund Indices
